cluster_hard_2.7,mu_2.7_0,mu_2.7_1,mu_2.7_2,_maxu,_second,_margin
0,0.4368082636995239,0.2338716124872979,0.329320123813178,0.4368082636995239,0.329320123813178,0.10748813988634592
0,0.4386188778955636,0.2346750867187543,0.3267060353856819,0.4386188778955636,0.3267060353856819,0.1119128425098817
0,0.4391156120366926,0.2354068108049418,0.3254775771583655,0.4391156120366926,0.3254775771583655,0.11363803487832708
2,0.3858035112716925,0.1747900182576737,0.4394064704706338,0.4394064704706338,0.3858035112716925,0.05360295919894131
0,0.4394424181882176,0.233582471965195,0.3269751098465872,0.4394424181882176,0.3269751098465872,0.11246730834163043
0,0.4394574707690463,0.2350083132410464,0.3255342159899073,0.4394574707690463,0.3255342159899073,0.113923254779139
0,0.4394851458600896,0.2314977748138564,0.329017079326054,0.4394851458600896,0.329017079326054,0.11046806653403557
0,0.4405254896936121,0.1847160864449886,0.3747584238613993,0.4405254896936121,0.3747584238613993,0.06576706583221281
0,0.4417546741064043,0.2288585888045739,0.3293867370890218,0.4417546741064043,0.3293867370890218,0.11236793701738251
0,0.4428989036169847,0.2318161288184269,0.3252849675645882,0.4428989036169847,0.3252849675645882,0.1176139360523965
2,0.3836835554023081,0.1726453250271297,0.4436711195705622,0.4436711195705622,0.3836835554023081,0.059987564168254126
2,0.4051399945533247,0.150666214603055,0.4441937908436201,0.4441937908436201,0.4051399945533247,0.03905379629029537
2,0.3987146687372517,0.1567437943356316,0.4445415369271166,0.4445415369271166,0.3987146687372517,0.04582686818986492
0,0.4447900372543635,0.2290212145434392,0.3261887482021973,0.4447900372543635,0.3261887482021973,0.11860128905216621
2,0.4281416576766043,0.1267542575934108,0.4451040847299848,0.4451040847299848,0.4281416576766043,0.016962427053380524
2,0.4134878538699249,0.1413041643660368,0.4452079817640382,0.4452079817640382,0.4134878538699249,0.03172012789411327
0,0.4452394202661964,0.1339481215589289,0.4208124581748746,0.4452394202661964,0.4208124581748746,0.02442696209132178
2,0.4400316665669463,0.1142576486811005,0.4457106847519531,0.4457106847519531,0.4400316665669463,0.005679018185006768
2,0.4033571597162174,0.1503335640397277,0.4463092762440548,0.4463092762440548,0.4033571597162174,0.042952116527837425
2,0.4251024614527605,0.1283587510699332,0.4465387874773062,0.4465387874773062,0.4251024614527605,0.021436326024545704
0,0.4467133192571826,0.153505481653663,0.3997811990891542,0.4467133192571826,0.3997811990891542,0.04693212016802839
0,0.4468116472511649,0.1847111733872027,0.3684771793616324,0.4468116472511649,0.3684771793616324,0.07833446788953252
0,0.4468846167463243,0.2227066787675789,0.3304087044860969,0.4468846167463243,0.3304087044860969,0.11647591226022741
2,0.4143588358655186,0.1382116109276942,0.4474295532067872,0.4474295532067872,0.4143588358655186,0.033070717341268596
0,0.4474911335976687,0.1616880336841581,0.390820832718173,0.4474911335976687,0.390820832718173,0.056670300879495705
0,0.4480147448553062,0.1385206573160761,0.4134645978286176,0.4480147448553062,0.4134645978286176,0.03455014702668857
0,0.4486717836288246,0.2247099333107619,0.3266182830604134,0.4486717836288246,0.3266182830604134,0.12205350056841119
0,0.448800732049245,0.2280525541305718,0.3231467138201831,0.448800732049245,0.3231467138201831,0.12565401822906186
0,0.4488438374764801,0.2015494202486427,0.349606742274877,0.4488438374764801,0.349606742274877,0.09923709520160312
2,0.3896276493089721,0.160723957631866,0.4496483930591619,0.4496483930591619,0.3896276493089721,0.06002074375018979
0,0.4498315341455971,0.1105771493341807,0.4395913165202222,0.4498315341455971,0.4395913165202222,0.010240217625374914
0,0.4500321766872548,0.1088710896070539,0.4410967337056912,0.4500321766872548,0.4410967337056912,0.008935442981563624
0,0.4503471722840845,0.1762465913944093,0.3734062363215061,0.4503471722840845,0.3734062363215061,0.0769409359625784
0,0.450406310543299,0.1307405102986295,0.4188531791580714,0.450406310543299,0.4188531791580714,0.031553131385227584
0,0.4508862156074606,0.2231185307326562,0.3259952536598831,0.4508862156074606,0.3259952536598831,0.12489096194757754
0,0.4515955631336575,0.190765202477568,0.3576392343887743,0.4515955631336575,0.3576392343887743,0.09395632874488319
2,0.3872871156589761,0.1607752841355174,0.4519376002055064,0.4519376002055064,0.3872871156589761,0.06465048454653027
0,0.4520474897017425,0.175282621548723,0.3726698887495345,0.4520474897017425,0.3726698887495345,0.07937760095220803
0,0.4521519308568051,0.1836957772359805,0.3641522919072145,0.4521519308568051,0.3641522919072145,0.08799963894959062
0,0.4524345834222171,0.2178389483203684,0.3297264682574143,0.4524345834222171,0.3297264682574143,0.12270811516480279
0,0.4526441572337525,0.2260075539474741,0.3213482888187733,0.4526441572337525,0.3213482888187733,0.1312958684149792
0,0.4527266086367687,0.222943889335014,0.3243295020282171,0.4527266086367687,0.3243295020282171,0.12839710660855164
0,0.4537596383206532,0.206897580689169,0.3393427809901776,0.4537596383206532,0.3393427809901776,0.11441685733047557
0,0.4543000796210202,0.2027085426418569,0.3429913777371228,0.4543000796210202,0.3429913777371228,0.11130870188389741
0,0.4544753239097151,0.2250611897798921,0.3204634863103928,0.4544753239097151,0.3204634863103928,0.13401183759932234
1,0.2894171065972385,0.454668363332713,0.2559145300700485,0.454668363332713,0.2894171065972385,0.16525125673547447
0,0.4547765842855784,0.2204877111196152,0.3247357045948063,0.4547765842855784,0.3247357045948063,0.1300408796907721
0,0.4549531791513183,0.1671463973739433,0.3779004234747383,0.4549531791513183,0.3779004234747383,0.07705275567657999
0,0.4551489694935776,0.1605233576487449,0.3843276728576773,0.4551489694935776,0.3843276728576773,0.07082129663590025
0,0.4555553852518249,0.2191760973786274,0.3252685173695476,0.4555553852518249,0.3252685173695476,0.13028686788227728
2,0.4017043813126438,0.1426787978465168,0.4556168208408393,0.4556168208408393,0.4017043813126438,0.05391243952819552
0,0.4557100967050144,0.2177964096665461,0.3264934936284396,0.4557100967050144,0.3264934936284396,0.1292166030765748
0,0.4561021112875801,0.1325492660476747,0.4113486226647451,0.4561021112875801,0.4113486226647451,0.044753488622835014
2,0.369997605860725,0.173857139051678,0.4561452550875969,0.4561452550875969,0.369997605860725,0.0861476492268719
1,0.2578256912637732,0.4565670767640598,0.2856072319721669,0.4565670767640598,0.2856072319721669,0.17095984479189286
0,0.4568154125407349,0.1071539852280112,0.4360306022312538,0.4568154125407349,0.4360306022312538,0.020784810309481094
2,0.3846287400031734,0.1583878366221595,0.4569834233746672,0.4569834233746672,0.3846287400031734,0.07235468337149381
0,0.4570402998286895,0.1122349341153123,0.4307247660559982,0.4570402998286895,0.4307247660559982,0.026315533772691302
0,0.4589298711309665,0.2185656435028564,0.3225044853661772,0.4589298711309665,0.3225044853661772,0.1364253857647893
0,0.4591715881530374,0.2175925814019415,0.3232358304450212,0.4591715881530374,0.3232358304450212,0.1359357577080162
0,0.4593819268781614,0.1368522493920693,0.4037658237297692,0.4593819268781614,0.4037658237297692,0.05561610314839216
