ALL_Uniq,Name_USGSO,Shape_Leng,IslandArea,Population,Population_density,evi,wind_power,wind_std,offshore_wind_potential,gdp_2019,ec_2019,geothermal_potential,hydro_potential,mean_temperature,total_precipitation,hdd,cdd,solar_power,solar_seas_ind,urban_area,urban_area_rel,res_area,elevation_max
278395,Pulau Siantan,87133.8694614,106.185213916,9788,92.1785589445909,5159.1367798833335,162.41068027094454,0.7051147296940231,0.0,29.09132194519043,1386442.5,0.0,0.0,27.547414607599023,1.904592149726608,0.0,2392.0736972584455,3.7130372524261475,1.4927177429199219,1.8810542259371386,1.7778136107729083,21.56496924346221,552.0
278396,Pulau Sagu Dampar,10611.7461722,2.78859912195,102,36.57750560025776,4183.106343628574,151.00810789930466,0.7165975880777533,0.0,,,0.0,0.0,27.48781057193338,1.9130149157717824,0.0,2368.4244232177734,3.974599838256836,1.4421894550323486,0.0,0.0,86.63394900112795,137.0
278397,Pulau Kalama,10063.8563058,5.15249834643,1377,267.2489940640309,5404.66361403501,137.78757650803647,0.589366570046304,0.0,,,0.0,0.0,27.57795060504526,2.464149714913219,0.0,2417.0818634033203,4.288571357727051,1.2101664543151855,0.0,0.0,56.47636607555305,342.0
278398,Pulau Airasuk,11517.381667,2.82239607634,1867,661.4946837727575,3691.9672469365087,162.7921965941911,0.7045505634832583,0.0,,,0.0,0.0,27.553901267138997,,,,3.887909173965454,1.4968823194503784,0.0,0.0,37.25351813561123,122.0
278399,Pulau Mandariouw Laut,10655.4343827,2.39724875011,176,73.41749578216448,3561.116206501961,,,0.0,0.3986583650112152,19673.3671875,0.0,0.0,27.586259841918945,,,,3.9747276306152344,1.4539915323257446,0.0,0.0,86.61727314593519,100.0
278401,Pulau Mandariau Darat,11238.087329,2.65356209869,156,58.788901181929546,3793.458323242392,149.71520915513477,0.7104725399718471,0.0,0.7973167300224304,19673.3671875,0.0,0.0,27.586259841918945,1.8431820017285645,0.0,2405.561721801758,3.9630002975463867,1.4590668678283691,0.0,0.0,85.95177401002157,128.0
278402,Pulau Matak,87335.753455,83.0805738059,12239,147.31482269963382,5180.206559701258,162.9261411810508,0.7043558738786798,0.0,29.418777465820312,1451785.625,0.0,0.0,27.585378194124758,1.8511924116084206,0.0,2405.989775437577,3.7720797061920166,1.4858851432800293,0.0,0.0,44.94236546345179,415.0
278403,Pulau Mubur,45556.0982967,36.7904986162,1653,44.930078747889894,5207.04797776276,153.6148845066483,0.7110063090658625,0.0,6.082239627838135,300152.15625,0.0,0.0,27.644783655802428,1.860333208926022,0.0,2426.9127197265625,3.71948504447937,1.480115294456482,0.0,0.0,16.018400213782858,404.0
278404,Pulau Semut,8451.48118108,2.81338326635,106,37.67705639961429,3796.2985757436245,149.71520915513477,0.7104725399718471,0.0,0.3986583650112152,19673.3671875,0.0,0.0,27.586259841918945,1.8431820017285645,0.0,2405.561721801758,3.820625066757202,1.4593026638031006,0.0,0.0,38.29585831502417,205.0
278405,Pulau Payau,45062.3747451,38.5413126786,1077,27.9440404373669,1536.974714661592,1.7687449365622243,1.0966758636608647,0.0,11.162435531616211,531180.9375,0.0,0.0,27.786635511466102,3.8287643622606993,0.0,2477.6761016845703,3.8197503089904785,1.164421796798706,0.0,0.0,6.853964643234687,178.0
278406,Pulau Mahumu,12148.0600456,3.80363345017,1657,435.6360889417307,4196.486893522324,180.71944640515196,0.5628609796943672,0.0,0.3986583650112152,,0.0,0.0,27.197439829508482,,,,4.003833293914795,1.221064805984497,0.0,0.0,70.20540276311013,199.0
278407,Pulau Batu Garam,30246.0347351,11.0966759649,512,46.139943314512564,4522.276853465728,163.04654080968876,0.7041823623845286,0.0,,,0.0,0.0,27.586259841918945,1.8431820017285645,0.0,2405.561721801758,3.905571222305298,1.4764399528503418,0.0,0.0,32.18136864017442,213.0
278408,Pulau Tarakan,79976.0419503,253.60460587,250820,989.0198923617838,4485.217193131727,9.717783378789528,1.07571472041435,0.0,2099.88134765625,93879432.0,77.70000000000002,15039126.0,27.43241566559027,3.1770368050783873,0.0,2347.901138305664,3.7530465126037598,1.173869013786316,37.53009334580779,14.847646599147543,63.46785102268352,124.0
278410,Pulau Bengdarat,8371.32849308,3.09326184346,532,171.98673339756,4935.508509035858,169.16215505106697,0.5755754797735008,0.0,,,0.0,0.0,27.197439829508482,,,,4.199090957641602,1.2243380546569824,0.0,0.0,73.78694430125256,127.0
278412,Pulau Tibi,67058.492989,90.5138637284,2265,25.023790905628132,1344.7030550413558,4.117712386377921,1.0670096498310655,0.0,23.91950225830078,1101708.5,0.0,129645.0,27.5763877931318,3.502107648682353,0.0,2403.2035198211647,3.9102671146392822,1.1560953855514526,0.0,0.0,3.266157430343482,51.0
278414,Pulau Baru,37996.1276201,48.5468625286,498,10.25812944567978,3179.1135143388547,1.1920114219895648,1.264811515069422,0.0,5.581216812133789,275427.1875,74.0,137528.0,27.64732551574707,3.3305426090955734,0.0,2426.291488647461,3.9089646339416504,1.1636446714401245,0.0,0.0,16.382733259852966,112.0
278416,Pulau Bunyu,52202.8119802,114.168179891,21368,187.16248275483338,4615.817541605872,11.183084905142106,0.992358189037292,0.0,1231.7445068359375,60380048.0,222.3,5298911.0,27.395608831574464,3.036594243619491,0.0,2334.668344858541,3.84623646736145,1.1668717861175537,2.910925149708868,2.553378102181708,78.70277064599543,119.0
278417,Pulau Sededap,11231.2949756,4.21019127011,345,81.94402056013625,4394.1215224582875,99.19365211147185,0.6752068056992998,0.0,,,0.0,0.0,27.594739278157533,1.8727491600438952,0.0,2408.417022705078,3.759714365005493,1.5209883451461792,0.0,0.0,50.91521377693225,264.0
278418,Pulau Bangkudulis Kecil,41183.619727,40.5213148537,336,8.291932312984159,3048.001192009028,0.1650183725831132,1.6383400504441301,0.0,8.77048397064209,413140.75,0.0,16643.0,27.62714703877765,3.7942464035004377,0.0,2418.9000930786133,3.930551052093506,1.1634376049041748,0.0,0.0,58.54587270819799,93.0
278422,Pulau Sebangmawang,25280.0551302,19.4831040483,2504,128.5216151282879,5272.938199618373,99.19365211147185,0.6752068056992998,0.0,4.589723587036133,206824.65625,0.0,0.0,27.594739278157533,1.8727491600438952,0.0,2408.417022705078,3.739359140396118,1.5374972820281982,0.0,0.0,37.237104697710656,454.0
278424,Pulau Kumbik,17331.3454324,12.7032049395,2131,167.7529418874255,5157.523965142596,99.19365211147185,0.6752068056992998,0.0,0.8994337320327759,44386.1015625,0.0,0.0,27.594739278157533,1.8727491600438952,0.0,2408.417022705078,3.618792772293091,1.5163838863372803,0.0,0.0,34.65007730251563,494.0
278426,Pulau Manipa,13327.3083452,4.6769156262,1302,278.3886013906727,5067.153447980867,163.99710360466872,0.612969240529304,0.0,,,0.0,0.0,27.44921023757371,2.778318208642304,0.0,2361.387908935547,4.159533500671387,1.2357113361358643,0.0,0.0,58.56664090734473,274.0
278427,Pulau Bukide,17627.8021323,5.471078006,971,177.4787343436024,4910.689096524516,163.99710360466872,0.612969240529304,0.0,0.3986583650112152,19673.3671875,0.0,0.0,27.46665891011554,,,,4.226411819458008,1.2250415086746216,0.0,0.0,71.09325559263176,223.0
278429,Pulau Sedanau,27324.4668642,10.1269319476,4931,486.91943675681625,3996.8597698591816,116.00316791632565,0.6917859307977382,0.0,1.1959750652313232,59020.09765625,0.0,0.0,27.528005484581684,2.0453756554052234,0.0,2383.316764831543,3.6310367584228516,1.492609977722168,0.0,0.0,56.820822497394815,204.0
278430,Pulau Kaburuang,46156.3042577,93.5709770158,13246,141.5609884864549,6017.670771142554,200.31762803918642,0.5195081461577105,0.0,28.304744720458984,1259095.5,0.0,0.0,27.335830927965958,2.756549023183262,0.0,2311.0552099819806,4.058470726013184,1.243068814277649,1.3398302664665491,1.4351815434934205,33.40380636998666,477.0
278432,Pulau Salor,11366.1538367,7.13249581466,341,47.80935157355647,4626.359726647119,161.4728081174064,0.7201171162651963,0.0,1.9932918548583984,98366.8359375,0.0,0.0,27.62493896484375,1.8779546860605478,0.0,2419.681365966797,3.6052353382110596,1.414381504058838,0.0,0.0,44.97162289529854,480.0
278433,Ile Miandjou,35729.7414499,25.6961218166,486,18.913359901883645,3133.858943101536,1.9522589924941862,0.5614698813194597,0.0,1.7192307710647583,143521.46875,0.0,341640.0,26.34172176056751,3.6703871715581045,0.0,1876.301924569264,3.815412998199463,1.4757578372955322,0.0,0.0,16.36635808889423,45.0
278434,Pulau Salebabu,78883.9922407,88.2081754373,18139,205.63853531800504,5713.693362816514,168.8317650549299,0.5288056712450903,0.0,23.605812072753906,1100648.625,0.0,0.0,27.461059351135418,2.675124905168496,0.0,2359.2929408632453,4.056735515594482,1.2390598058700562,4.7024410311088545,5.340669960830825,17.02936300057969,357.0
278439,Pulau Seluan,16729.7930161,7.16913730776,555,77.41517231079649,4992.146971635019,165.46485583621956,0.707330606898906,0.0,0.7973167300224304,19673.3671875,0.0,0.0,27.58930460611981,1.8981597223319113,0.0,2406.73038482666,3.8039002418518066,1.4658844470977783,0.0,0.0,32.661129778480934,281.0
278445,Akwabana Island,50600.8419154,32.7049192299,706,21.586966628388726,2776.670717720115,8.837118794161826,0.515981624641431,0.0,6.450755596160889,562026.25,0.0,75335.0,26.5080853421494,4.584812547080219,0.0,2003.9784317016602,3.6539015769958496,1.3983060121536255,0.0,0.0,11.15152327449342,33.0
278447,Inikoi Island,9554.65587627,3.65870835408,551,150.59959599828548,2518.5346359385876,4.698518824593793,0.5442007630805329,0.0,1.1819711923599243,112766.8671875,0.0,0.0,26.500060399373353,4.584812547080219,0.0,2003.9784317016602,3.647200107574463,1.3962972164154053,0.0,0.0,13.879417963319984,33.0
278449,Pulau Karatung,11801.1165688,7.70301096328,1380,179.1507251616822,5612.7652495461325,196.51571967000407,0.5097639577372813,0.0,0.8118550777435303,40064.18359375,0.0,0.0,27.531277974446596,2.7573401676490903,0.0,2385.0617752075195,4.118764877319336,1.2331401109695435,0.8834923769340441,11.490229464897604,37.64869888885337,45.0
278451,Ewuru Island,21264.7137119,7.19095566261,317,44.08315318202685,2027.5306079536895,4.698518824593793,0.5442007630805329,0.0,1.7192307710647583,164024.546875,0.0,36792.0,26.500060399373353,4.584812547080219,0.0,2003.9784317016602,3.626737117767334,1.4201871156692505,0.0,0.0,57.677880872683104,33.0
278452,Masonjo Island,13157.61658,5.03670323376,879,174.51891826944285,2018.7398835721033,3.7407106200644793,0.5495226775602617,0.0,1.2894231081008911,112766.8671875,0.0,0.0,26.538041461997352,4.584812547080219,0.0,2003.9784317016602,3.6105003356933594,1.4125473499298096,0.0,0.0,40.12300188763981,21.0
278453,Pulau Laut,41766.9568266,35.4037148766,2509,70.86826929730805,5206.268879350516,186.42415128810873,0.679240354757484,0.0,5.979875087738037,295100.5625,0.0,0.0,27.567337769906544,1.8769108273766257,0.0,2398.4692833640324,3.9543380737304688,1.5242644548416138,0.0,0.0,25.73143471279153,275.0
278454,Pulau Marampit,15335.898385,15.0525885936,1806,119.97936360048185,6101.305215601832,204.7164967344101,0.49880698606357343,0.0,3.5879251956939697,137713.5625,0.0,0.0,27.539013854374332,2.8571099899709225,0.0,2387.6335067749023,4.151666641235352,1.2570210695266724,0.0,0.0,14.415139623949461,154.0
278460,Kosrae Island,62664.4917529,116.172111569,6453,55.54689428337768,6213.583688953547,203.90272232159694,0.6864379738316045,0.0,,,0.0,0.0,27.653048898386317,4.11259353356926,0.0,2428.6028225547357,3.709310531616211,1.176147699356079,0.0,0.0,100.0,591.0
278465,Pulau Peunasu,36075.6218613,27.7719232963,2505,90.19901046369866,5141.8281737961715,232.37121676073548,0.5563006689024589,0.038710000020861626,5.182558536529541,216407.0625,0.0,0.0,27.53058942159015,2.6800956521183252,0.0,2382.7712783813477,3.944000244140625,1.2650336027145386,0.0,0.0,30.312407406373744,302.0
278466,Pulau Breueh,69716.6127222,59.1282807522,3851,65.1295784522995,5493.561281226374,232.37121676073548,0.5563006689024589,0.038710000020861626,9.966459274291992,472160.8125,0.0,0.0,27.5309603557198,2.6800956521183252,0.0,2382.7712783813477,3.935572385787964,1.2564672231674194,0.0,0.0,3.3096142387391976,688.0
278467,Pulau We,88912.1448815,122.369352442,42484,347.1784327708717,5468.026521190383,170.7195325787393,0.5530570183122351,0.038710000020861626,78.53621673583984,2861517.0,0.0,2826848.0,27.624524217640783,2.4310460752541463,0.0,2417.274157932822,3.87113356590271,1.3109636306762695,5.240632094920902,4.2914924379349415,38.0341151766464,643.0
278469,Houk Island,8186.93684138,2.92042179463,472,161.62048950185962,4430.070637072881,,,0.0,,,0.0,0.0,27.680631001790346,,,,4.114799499511719,1.1564369201660156,0.0,0.0,100.0,50.0
278471,Dehpehk,10543.5376001,3.70527566337,140,37.78396338605156,4352.181002969992,256.38344397295566,0.7024081829535771,0.0,,,0.0,0.0,27.53584861755371,3.3647320177406073,0.0,2385.634765625,3.7860000133514404,1.1686583757400513,0.0,0.0,100.0,154.0
278475,Uman Island,9344.18971542,4.19809451613,3124,744.1471334189611,5891.5329993792775,255.77741474101546,0.6633531988350703,0.0,,,0.0,0.0,27.647672017415346,3.2532252222299576,0.0,2426.5695724487305,4.105749607086182,1.1738173961639404,0.0,0.0,99.99999999999648,285.0
278479,Fefen Island,19847.2921057,12.5926606175,3554,282.227887175885,6273.686464508633,255.77741474101546,0.6633531988350703,0.0,,,0.0,0.0,27.647672017415346,3.2532252222299576,0.0,2426.5695724487305,4.061166763305664,1.166320562362671,0.0,0.0,100.0,308.0
278480,Isla Fuerte,7579.28488149,3.03884115395,188,61.8656884239015,4683.938440294329,65.92963889619266,0.870144211291119,0.0,0.17279113829135895,,0.0,0.0,27.62128766377765,1.6506381649523973,0.0,2417.8291625976562,4.407875061035156,1.3363568782806396,0.0,0.0,61.083851511405385,27.0
